Date;Heure;NS;SFC;@ mac;Code err;Interface;Resultat;
18/05/23;01:44:34;022375420923;ME2313742354;;0;7;PASS;
18/05/23;01:45:05;022375420928;ME2313742360;;0;6;PASS;
18/05/23;01:45:31;022375420929;ME2313742223;;0;5;PASS;
18/05/23;01:46:07;022375420701;ME2313742235;;0;4;PASS;
18/05/23;01:46:36;022375420704;ME2313742044;;0;3;PASS;
18/05/23;01:47:05;022375420926;ME2313742362;;0;2;PASS;
18/05/23;01:47:34;022375420931;ME2313742361;;0;1;PASS;
18/05/23;01:48:02;022375420934;ME2313742137;;0;8;PASS;
18/05/23;01:48:31;022375420936;ME2313742109;;0;7;PASS;
18/05/23;01:48:59;022375420938;ME2313742355;;0;6;PASS;
18/05/23;01:49:30;022375420941;ME2313742369;;0;5;PASS;
18/05/23;01:50:05;423231374737;ME2313742368;;-233;4;FAIL;
18/05/23;01:50:35;022375420944;ME2313742367;;0;3;PASS;
18/05/23;01:51:03;022375420946;ME2313742372;;0;2;PASS;
18/05/23;01:51:33;022375420522;ME2313742373;;0;1;PASS;
18/05/23;01:52:04;022375420526;ME2313742491;;0;8;PASS;
18/05/23;01:52:32;022375420528;ME2313742323;;0;7;PASS;
18/05/23;01:53:00;022375420529;ME2313742488;;0;6;PASS;
18/05/23;01:53:41;;;;-199;6;FAIL;
18/05/23;01:54:10;022375420707;ME2313742496;;0;5;PASS;
18/05/23;01:54:39;423231375176;ME2313742495;;-233;4;FAIL;
18/05/23;01:55:09;022375420764;ME2313742510;;0;3;PASS;
18/05/23;01:55:37;022375420765;ME2313742507;;0;2;PASS;
18/05/23;01:56:06;022375420781;ME2313742509;;0;1;PASS;
18/05/23;01:56:34;022375420902;ME2313742503;;0;8;PASS;
18/05/23;01:57:03;022375420904;ME2313742521;;0;7;PASS;
18/05/23;01:57:44;;;;-199;7;FAIL;
18/05/23;01:58:14;022375420906;ME2313742520;;0;6;PASS;
18/05/23;01:58:41;022375420909;ME2313742524;;0;5;PASS;
18/05/23;01:59:12;423231375176;ME2313742495;;-233;4;FAIL;
18/05/23;01:59:48;022375420300;ME2313742539;;0;3;PASS;
18/05/23;02:00:19;022375420534;ME2313742538;;0;2;PASS;
18/05/23;02:00:47;022375420537;ME2313742499;;0;1;PASS;
18/05/23;02:01:16;022375420540;ME2313742525;;0;8;PASS;
18/05/23;02:01:45;022375420543;ME2313742433;;0;7;PASS;
18/05/23;02:02:14;423231375169;ME2313840016;;-243;6;FAIL;
18/05/23;02:02:44;022375420772;ME2313742494;;0;5;PASS;
18/05/23;02:03:13;423231375176;ME2313742495;;-233;4;FAIL;
18/05/23;02:03:33;423231375176;;;-107;4;FAIL;
18/05/23;02:04:01;022375420776;ME2313840030;;0;3;PASS;
18/05/23;02:04:29;022375420778;ME2313840032;;0;2;PASS;
18/05/23;02:05:00;022375420785;ME2313840027;;0;1;PASS;
18/05/23;02:05:28;022375420792;ME2313840028;;0;8;PASS;
18/05/23;02:05:59;022375420304;ME2313840005;;0;7;PASS;
18/05/23;02:06:26;022375420306;ME2313840031;;0;6;PASS;
18/05/23;02:06:55;022375420309;ME2313840053;;0;5;PASS;
18/05/23;02:07:26;470222470183;ME2313840050;;-233;4;FAIL;
18/05/23;02:07:56;022375420544;ME2313840049;;0;3;PASS;
18/05/23;02:08:24;022375420546;ME2313840052;;0;2;PASS;
18/05/23;02:08:55;022375420548;ME2313840055;;0;1;PASS;
18/05/23;02:09:28;022375420549;ME2313840016;;0;8;PASS;
18/05/23;02:09:58;022375420712;ME2313840047;;0;7;PASS;
18/05/23;02:10:32;022375420783;ME2313742397;;0;6;PASS;
18/05/23;02:11:01;022375420787;ME2313742513;;0;5;PASS;
18/05/23;02:11:36;470222470183;ME2313840050;;-233;4;FAIL;
18/05/23;02:12:17;;;;-199;4;FAIL;
18/05/23;02:12:45;022375420789;ME2313742368;;0;3;PASS;
