Date;Heure;NS;SFC;@ mac;Code err;Interface;Resultat
18/05/2023;1:31:38;22375420991;ME2313742232;;0;6;PASS
18/05/2023;1:32:11;22375420993;ME2313742245;;0;5;PASS
18/05/2023;1:32:38;22375420994;ME2313742175;;0;4;PASS
18/05/2023;1:33:16;22375420110;ME2313742275;;0;3;PASS
18/05/2023;1:33:44;22375419362;ME2313742274;;0;2;PASS
18/05/2023;1:34:14;22375419365;ME2313742203;;0;1;PASS
18/05/2023;1:34:52;22375420108;ME2313742278;;0;8;PASS
18/05/2023;1:35:20;22375420512;ME2313742319;;0;7;PASS
18/05/2023;1:35:49;7,23231E+11;ME2313742191;;-243;6;FAIL
18/05/2023;1:36:20;22375420517;ME2313742190;;0;5;PASS
18/05/2023;1:36:49;22375420754;ME2313742289;;0;4;PASS
18/05/2023;1:37:21;22375420757;ME2313742227;;0;3;PASS
18/05/2023;1:37:49;22375420759;ME2313742331;;0;2;PASS
18/05/2023;1:38:31;;;;-199;2;FAIL
18/05/2023;1:39:01;22375420911;ME2313742332;;0;1;PASS
18/05/2023;1:39:29;22375420914;ME2313742328;;0;8;PASS
18/05/2023;1:39:58;22375420995;ME2313742327;;0;7;PASS
18/05/2023;1:40:26;22375420996;ME2313742353;;0;6;PASS
18/05/2023;1:40:55;22375420520;ME2313742230;;0;5;PASS
18/05/2023;1:41:24;22375420525;ME2313742350;;0;4;PASS
18/05/2023;1:42:07;;;;-199;4;FAIL
18/05/2023;1:42:35;22375420761;ME2313742330;;0;3;PASS
18/05/2023;1:43:06;22375420763;ME2313742123;;0;2;PASS
18/05/2023;1:43:34;22375420767;ME2313742234;;0;1;PASS
18/05/2023;1:44:05;22375420916;ME2313742317;;0;8;PASS
18/05/2023;1:44:34;22375420923;ME2313742354;;0;7;PASS
18/05/2023;1:45:05;22375420928;ME2313742360;;0;6;PASS
18/05/2023;1:45:31;22375420929;ME2313742223;;0;5;PASS
18/05/2023;1:46:07;22375420701;ME2313742235;;0;4;PASS
18/05/2023;1:46:36;22375420704;ME2313742044;;0;3;PASS
18/05/2023;1:47:05;22375420926;ME2313742362;;0;2;PASS
